"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Country = MEXICO""]"																																						
	1864	10	3			0			"MEXICO:  PUEBLA,VERACRUZ,ACULTZINGO,ACATZINGO"	18.6	-97.5				20	1						3																
	1866	1	2						"MEXICO:  PUEBLA, VERACRUZ"	19	-98											3												3				
	1868	4	7			0			"MEXICO:  GUANAJUATO"	21	-101											3																
	1868	5	22			0			"MEXICO:  SAN JOSE DE ITURBIDE,PUEBLA,VERACRUZ"	21.2	-100.5											3																
	1868	5	25				976		"MEXICO:  ACAPULCO"	16.8	-99.2																											
	1868	8	12				981		"MEXICO:  ACAPULCO"	16.8	-99.9																											
	1870	5	11				2330		"MEXICO:  OAXACA,ZANAGUIA,SAN FRANCISCO OZOLOTEPEC"	15.4	-96.3		7.9		24	1			20	1		3		3			24	1			20	1		3		3		
	1871	2	7				5411		"MEXICO:  MINATITLAN"	18.2	-94.5																											
	1872	3	27			0			"MEXICO:  OAXACA,MEXICO CITY"	17	-96.3											3																
	1874	3	16			0			"MEXICO:  MORELOS,GUERRERO"	28.2	-100.2											3																
	1875	2	11			0			"MEXICO:  SAN CRISTOBAL DE LA BARRANCA"	20.7	-103.4		7.5		25	1						2		3			25	1						2		3		
	1875	2	24				1061		"S. MEXICO"	20	-105																											
	1878	3	22			0			"MEXICO:  JALISCO"	20.3	-103.4											3																
	1878	5	21			0			"MEXICO:  BAJA CALIFORNIA"	34.1	-117.3		4.3									3																
	1882	7	19						"MEXICO:  PUEBLA,HUAHUAPAN,HUAMUXTITLAN,XALPATLAHUAC"	17.5	-98.3				7	1			10	1		3					7	1			10	1		3				
	1885	2	11			0			"MEXICO:  JALISCO:  SAN CRISTOBAL"	20.8	-103.4			8								2																
	1887	5	3	9			1168		"MEXICO:  BAVISPE"	30.8	-109.25	80	7.4	12	51	2				3		3		3			51	2				3		3		3		
	1887	5	29						"MEXICO:  GUERRERO,MORELOS"	28.2	-100.2											3																
	1887	8	29			0			"MEXICO:  GUERRERO"	17.7	-100											3																
	1889	8	17			0			"MEXICO:  GUERRERO"	17.7	-100											3																
	1889	10	1			0			"MEXICO:  MORELOS"	18.8	-99											3																
	1891	7	30				1189		"N. MEXICO"	25.5	-103.5																											
	1892	2	24	7	20				"MEXICO:  BAJA CALIFORNIA"	31.5	-116.5			10								3												3				
	1896	3	2						"MEXICO:  COLIMA"	19.2	-104											3																
	1897	6	5			0			"MEXICO:  OAXACA:  TEHUANTEPEC"	17	-96.3		7									3																
	1897	6	20				1240		"MEXICO:  TEHUANTEPEC"	16	-95		7									2		2										2		2		
	1899	1	24	23	43	0			"MEXICO:  GUERRERO-OAXACA"	17	-98	60	8.4									3																
	1900	1	20	6	33	30			"MEXICO"	20	-105	10	7.4									1												1				
	1900	5	16	20	12	0			"MEXICO:  NEAR COAST OF JALISCO"	20	-105	60	7.8																									
